year,feature_chr,importance_num
2025,AGE_num,1192662.7453511388
2025,SEX_fct,128870.30913085141
2025,EDUC_fct,435828.75562294363
2025,RACE_fct,198571.73147266865
2025,HISPAN_fct,146986.5920195215
2025,MARST_fct,185284.20098924162
2025,STATEFIP_fct,619115.6617302266
2025,CLASSWKR_fct,146388.86692990872
2025,OCC2010_fct,1265600.5513498918
2025,CITIZEN_fct,124022.66313474605
2025,IND1990_fct,831271.8588040043
2025,UNION_fct,64249.11857982486
2026,AGE_num,899191.069256585
2026,SEX_fct,91583.10107361985
2026,EDUC_fct,346492.87747201277
2026,RACE_fct,151869.60603356062
2026,HISPAN_fct,109552.94590312267
2026,MARST_fct,138268.2312158731
2026,STATEFIP_fct,438664.9147009954
2026,CLASSWKR_fct,103577.58227119922
2026,OCC2010_fct,892833.2773694698
2026,CITIZEN_fct,88186.45292187741
2026,IND1990_fct,611021.9431899873
2026,UNION_fct,47334.033531542314
